´Ü¾î,Á¡¼ö
³Ã·©ÇÏ´Ù,-1
³ÃÁ¤ÇÏ´Ù,-1
³ÃÃ¶ÇÏ´Ù,0
³Ê±×·´´Ù,2
³Ê¹«ÇÏ´Ù,-2
³ÊÀúºÐÇÏ´Ù,-1
³Ë³ËÇÏ´Ù,1
³ÎÂïÇÏ´Ù,1
³Ð´Ù,1
³ÐÀûÇÏ´Ù,1
³ÑÄ¡´Ù,1
³ë±Ù³ë±ÙÇÏ´Ù,0
³ë¶þ´Ù,0
³ë·ÃÇÏ´Ù,1
³ì³ìÇÏ´Ù,0
³ìÁøÇÏ´Ù,0
³î¶ø´Ù,1
³î·¡´Ù,0
³ô´Ù,1
´ª´ªÇÏ´Ù,-1
´«ºÎ½Ã´Ù,1
´À±ßÇÏ´Ù,0
´À³¢ÇÏ´Ù,-2
´À¸®´Ù,-1
´Æ¸§ÇÏ´Ù,1
´É¼÷ÇÏ´Ù,1
´Ù°¨ÇÏ´Ù,0
´Ù±ÞÇÏ´Ù,-1
´Ù´Ï´Ù,0
´Ù¸£´Ù,-1
´Ù¸§¾ø´Ù,0
´Ù¾çÇÏ´Ù,1
´ÙÁ¤´Ù°¨ÇÏ´Ù,1
´ÙÁ¤ÇÏ´Ù,2
´ÙÇàÇÏ´Ù,0
´Ü´ÜÇÏ´Ù,0
´Ü¼øÇÏ´Ù,0
´ÜÁ¤ÇÏ´Ù,2
´Þ¶ó,0
´ÞÂ¦Áö±ÙÇÏ´Ù,1
´ÞÄÞÇÏ´Ù,1
´ã¹éÇÏ´Ù,1
´ãÇÏ´Ù,0
´ä´äÇÏ´Ù,-1
´ç´çÇÏ´Ù,1
´ç¿¬ÇÏ´Ù,0
´çÇÏ´Ù,-1
´çÈ¤½º·´´Ù,-1
´ë°ßÇÏ´Ù,1
´ë´ÜÇÏ´Ù,2
´ë¼ö·Ó´Ù,0
´ëÂ÷´Ù,0
´õ±º¿ä,0
´õ¶ó°í¿ä,0
´õ¶ó±¸¿ä,0
´õ·´´Ù,-2
´õºÎ·èÇÏ´Ù,-2
´õÇÏ´Ù,1
´úÇÏ´Ù,0
´ý´ýÇÏ´Ù,0
´þ´Ù,-1
µµµµ,0
µµµµÇÏ´Ù,0
µµÅèÇÏ´Ù,0
µ¶Æ¯ÇÏ´Ù,1
µ¶ÇÏ´Ù,-1
µ¿±×¶þ´Ù,0
µ¿¶³¾îÁö´Ù,0
µ¿ÀÏÇÏ´Ù,0
µÇ´Ù,0
µÇ¾î´Ù,0
µÎ±Ù°Å¸®´Ù,1
µÎ²®´Ù,0
µÎµÏÇÏ´Ù,0
µÎ·Æ´Ù,-2
µÎÅÓ´Ù,1
µÐÇÏ´Ù,-1
µÕ±Û´Ù,0
µÕ±ÛµÕ±ÛÇÏ´Ù,0
µÚ´Ê´Ù,-1
µå³Ð´Ù,0
µå·´´Ù,-2
µå¹°´Ù,-1
µçµçÇÏ´Ù,2
µé¶ß´Ù,0
µé¾¦³¯¾¦ÇÏ´Ù,-1
µéÂß³¯ÂßÇÏ´Ù,-1
µéÂ÷´Ù,0
µë»ÒÇÏ´Ù,1
µë¼ºµë¼ºÇÏ´Ù,0
µëÁ÷ÇÏ´Ù,2
µû°©´Ù,0
µû²öµû²öÇÏ´Ù,1
µû²öÇÏ´Ù,1
µû²ûÇÏ´Ù,-1
µû¶æÇÏ´Ù,2
µû½ºÇÏ´Ù,1
µüµüÇÏ´Ù,0
µüÀÌ´Ù,1
µüÁÁ´Ù,1
µüÇÏ´Ù,-2
¶¯±×¶þ´Ù,0
¶¸¶¸ÇÏ´Ù,2
¶Ç¶û¶Ç¶ûÇÏ´Ù,0
¶È°°´Ù,0
¶È¶ÈÇÏ´Ù,2
¶Ñ·ÇÇÏ´Ù,1
¶×¶×ÇÏ´Ù,-1
¶×ÇÏ´Ù,-1
¶Ù¾î³ª´Ù,2
¶ß°Ì´Ù,0
¶ß²öÇÏ´Ù,1
¶ß¶æÇÏ´Ù,1
¶òÇÏ´Ù,0
¸¶¶¥ÇÏ´Ù,0
¸¶¸£´Ù,0
¸·¸·ÇÏ´Ù,-2
¸¸¸¸ÇÏ´Ù,-1
¸¸Á·½º·´´Ù,2
¸¸Á·ÇÏ´Ù,2
¸¸ÁöÀÛ°Å¸®´Ù,0
¸¹´Ù,2
¸»°²´Ù,0
¸»¶Ë¸»¶ËÇÏ´Ù,0
¸»¶û¸»¶ûÇÏ´Ù,0
¸»¶ûÇÏ´Ù,0
¸»¸£´Ù,0
¸»Â¯ÇÏ´Ù,2
¸¼´Ù,2
¸À±ò³ª´Ù,1
¸À¾ø´Ù,-1
¸ÀÀÖ´Ù,2
¸ÁÇÏ´Ù,-2
¸Å²ô·´´Ù,1
¸Å²öÇÏ´Ù,0
¸Ê´Ù,0
¸Í¸ÍÇÏ´Ù,-1
¸Ö´Ù,-1
¸Ö¶×ÇÏ´Ù,0
¸ÖÂÄÇÏ´Ù,1
¸ÚÀÖ´Ù,2
¸ÚÁö´Ù,2
¸Û¸ÛÇÏ´Ù,0
¸ÛÃ»ÇÏ´Ù,-2
¸ÛÇÏ´Ù,0
¸Þ½º²®´Ù,-2
¸é¹ÐÇÏ´Ù,0
¸í¶ûÇÏ´Ù,2
¸í·áÇÏ´Ù,1
¸íÄèÇÏ´Ù,2
¸íÈ®ÇÏ´Ù,1
¸ðÁú´Ù,-2
¸ðÈ£ÇÏ´Ù,-1
¸ô¶û¸ô¶ûÇÏ´Ù,0
¸ô»ó½ÄÇÏ´Ù,-2
¸øÁö¾Ê´Ù,0
¸ù±ÛÇÏ´Ù,1
¹«°Ì´Ù,-1
¹«´þ´Ù,0
¹«¶Ò¶ÒÇÏ´Ù,-1
¹«·ÊÇÏ´Ù,-2
¹«¸®,0
¹«¸®´Ù,0
¹«¸®ÇÏ´Ù,-1
¹«»çÇÏ´Ù,1
¹«¼·´Ù,-2
¹«½Ã¹«½ÃÇÏ´Ù,-1
¹«½ÄÇÏ´Ù,-2
¹«½ÉÇÏ´Ù,-1
¹«¾ÈÇÏ´Ù,-1
¹«ÁöÇÏ´Ù,-1
¹«Ã¥ÀÓÇÏ´Ù,-2
¹¬¹¬ÇÏ´Ù,1
¹¬Á÷ÇÏ´Ù,0
¹°··ÇÏ´Ù,0
¹±´Ù,0
¹Ì²ô·´´Ù,0
¹Ì¹¦ÇÏ´Ù,0
¹Ì¹ÌÇÏ´Ù,0
¹ÌºñÇÏ´Ù,-1
¹Ì¾ÈÇÏ´Ù,-1
¹Ì¿ë,0
¹ÌÁö±ÙÇÏ´Ù,0
¹ÌÄ¡´Ù,0
¹ÌÈíÇÏ´Ù,-1
¹Î°¨ÇÏ´Ù,-1
¹Î¸ÁÇÏ´Ù,-1
¹Î¹ÚÇÏ´Ù,0
¹ÏÀ½Á÷ÇÏ´Ù,1
¹ÐÁ¢ÇÏ´Ù,0
¹Ó´Ù,-2
¹Ô¹ÔÇÏ´Ù,-1
¹Ù»Ú´Ù,0
¹Ù»è¹Ù»èÇÏ´Ù,1
¹Ú½ÄÇÏ´Ù,1
¹ÚÇÏ´Ù,-1
¹Ý°©´Ù,2
¹ÝµíÇÏ´Ù,1
¹ÝÁú¹ÝÁúÇÏ´Ù,0
¹ÝÇÏ´Ù,1
¹ß±¤ÇÏ´Ù,0
¹ß¶öÇÏ´Ù,2
¹ã´Ê´Ù,0
¹æ´ëÇÏ´Ù,1
¹æ½ÉÇÏ´Ù,-1
¹è°íÇÁ´Ù,-1
¹èºÎ¸£´Ù,1
¹ö°Ì´Ù,-2
¹÷Â÷´Ù,0
¹÷Â÷¿À¸£´Ù,1
¹ø°Å·Ó´Ù,-2
¹øµíÇÏ´Ù,0
¹ø¹øÇÏ´Ù,0
¹øÇÏ´Ù,1
¹ú°Ó´Ù,0
º¯ÇÏ´Ù,0
º°´Ù¸£´Ù,0
º¸µå¶ø´Ù,1
º¸µéº¸µéÇÏ´Ù,0
º¸¼®°°´Ù,1
º¸¼Ûº¸¼ÛÇÏ´Ù,1
º¸¼ÛÇÏ´Ù,0
º¸¾é´Ù,0
º¹½Çº¹½ÇÇÏ´Ù,0
º¹ÀâÇÏ´Ù,-1
º¼·ÏÇÏ´Ù,0
ºÎ²ô·´´Ù,-1
ºÎ´Ù,0
ºÎ´ã½º·´´Ù,-2
ºÎµå·´´Ù,1
ºÎµéºÎµéÇÏ´Ù,0
ºÎµéÇÏ´Ù,0
ºÎ·´´Ù,-1
ºÎ»ê½º·´´Ù,-1
ºÎ½ÇÇÏ´Ù,-2
ºÎÀÚ¿¬½º·´´Ù,-2
ºÎÀûÀýÇÏ´Ù,-2
ºÎÁ·ÇÏ´Ù,-1
ºÎÁö·±ÇÏ´Ù,2
ºÎÅ¹µå¸®´Ù,0
ºÐ³ëÇÏ´Ù,-2
ºÐ¸íÇÏ´Ù,1
ºÐÁÖÇÏ´Ù,0
ºÐÇÏ´Ù,-2
ºÒ°¡´ÉÇÏ´Ù,-1
ºÒ°¡ÇÇÇÏ´Ù,-1
ºÒ°¡ÇÏ´Ù,-2
ºÒ°áÇÏ´Ù,-2
ºÒ°úÇÏ´Ù,0
ºÒ±ÔÄ¢ÇÏ´Ù,-1
ºÒ·®ÇÏ´Ù,-2
ºÒ¼º½ÇÇÏ´Ù,-2
ºÒ½ÖÇÏ´Ù,-2
ºÒ¾ÈÁ¤ÇÏ´Ù,-1
ºÒ¾ÈÇÏ´Ù,-2
ºÒÄ£ÀýÇÏ´Ù,-2
ºÒÄèÇÏ´Ù,-2
ºÒÅõ¸íÇÏ´Ù,0
ºÒÆíÇÏ´Ù,-2
ºÒÇÊ¿äÇÏ´Ù,-1
ºÓ´Ù,0
ºñ¸®´Ù,-1
ºñ¹Ð½º·´´Ù,0
ºñ½ÁÇÏ´Ù,0
ºñ½Î´Ù,-2
ºó¾àÇÏ´Ù,-1
ºü¸£´Ù,1
ºýÄ¡´Ù,-2
»¡°²´Ù,0
»¡¸£´Ù,1
»§ÅÍÁö´Ù,1
»ª»ªÇÏ´Ù,0
»·ÇÏ´Ù,-1
»Ç¼Û»Ç¼ÛÇÏ´Ù,0
»Ç¼ÛÇÏ´Ù,0
»Ç¾é´Ù,0
»ÑµíÇÏ´Ù,2
»Ñ¿¸´Ù,0
»ÓÀÌ´Ù,0
»ß¶Ô´Ù,-1
»ßÁ×´Ù,-1
»ßÁ×ÇÏ´Ù,-1
»ßÁö´Ù,-2
»ç±Ù»ç±ÙÇÏ´Ù,1
»ç³³´Ù,-1
»ç´À¶þ´Ù,0
»ç¶û½º·´´Ù,2
»ç¼ÒÇÏ´Ù,0
»ç¾ÇÇÏ´Ù,-2
»çÀÌÁÁ´Ù,1
»è¸·ÇÏ´Ù,-2
»ê¶æÇÏ´Ù,2
»ê¸¸ÇÏ´Ù,-1
»ìºüÁö´Ù,0
»ì»©´Ù,0
»ìÂî´Ù,0
»ï»ïÇÏ´Ù,0
»ó°ü¾ø´Ù,0
»ó³ÉÇÏ´Ù,2
»ó´çÇÏ´Ù,1
»óÄèÇÏ´Ù,2
»õ±î¸Ä´Ù,0
»õ·Ó´Ù,1
»õÄ§ÇÏ´Ù,0
»õÇÏ¾êÁö´Ù,0
»ö´Ù¸£´Ù,1
»ý»ýÇÏ´Ù,1
»ý¼ÒÇÏ´Ù,0
¼­·´´Ù,-2
¼­¿îÇÏ´Ù,-2
¼­Åõ¸£´Ù,-1
¼­Åø´Ù,-1
¼±¸íÇÏ´Ù,1
¼±¼±ÇØÁö´Ù,0
¼±ÇÏ´Ù,2
¼²ºÎ¸£´Ù,-1
¼³·¹´Ù,1
¼³Ä¡´Ù,-1
¼¶¼¼ÇÏ´Ù,1
¼·¼·ÇÏ´Ù,-1
¼º°øÇÏ´Ù,2
¼º±ÞÇÏ´Ù,-1
¼º½º·´´Ù,1
¼º½ÇÇÏ´Ù,1
¼ºÀåÇÏ´Ù,1
¼ºÇÏ´Ù,1
¼¼·ÃµÇ´Ù,2
¼Ò¹ÚÇÏ´Ù,1
¼Òº¹ÇÏ´Ù,0
¼Ò»óÇÏ´Ù,0
¼Ò¼ÒÇÏ´Ù,0
¼Ò½ÉÇÏ´Ù,0
¼Ò¿ë¾ø´Ù,-2
¼ÒÁßÇÏ´Ù,2
¼ÒÈ¦ÇÏ´Ù,-2
¼Ó»óÇÏ´Ù,-2
¼Õ½±´Ù,1
¼ÖÁ÷ÇÏ´Ù,2
¼è¾àÇÏ´Ù,-1
¼ö¸¹´Ù,1
¼öºÏÇÏ´Ù,1
¼ö¼öÇÏ´Ù,1
¼ö¿ùÇÏ´Ù,2
¼÷¼ºÇÏ´Ù,0
¼ø¼öÇÏ´Ù,1
¼øÁøÇÏ´Ù,0
¼øÇÏ´Ù,1
¼û¸·È÷´Ù,-1
½±´Ù,0
½º·´´Ù,0
½½±â·Ó´Ù,2
½½ÇÁ´Ù,-2
½ÀÇÏ´Ù,0
½Ã±ÞÇÏ´Ù,-1
½Ã±âÇÏ´Ù,-2
½Ã²¨¸Ý´Ù,0
½Ã²ô·´´Ù,-2
½Ã²ø¹÷ÀûÇÏ´Ù,0
½Ã²ø½Ã²øÇÏ´Ù,0
½Ã¸£´Ù,-1
½Ã¸®´Ù,0
½Ã¹«·èÇÏ´Ù,-2
½Ã»¹°Ó´Ù,0
½Ã¿ø½º·´´Ù,2
½Ã¿ø½Ã¿øÇÏ´Ù,2
½Ã¿øÇÏ´Ù,1
½ÃÄ¿¸Ý´Ù,0
½ÃÅ«µÕÇÏ´Ù,-1
½ÃÅ«½ÃÅ«ÇÏ´Ù,0
½ÃÅ«ÇÏ´Ù,0
½ÃÅ­ÇÏ´Ù,0
½Ä°ÌÇÏ´Ù,-1
½Ä»óÇÏ´Ù,-1
½Å±âÇÏ´Ù,1
½Å³ª´Ù,2
½Åµé¸®´Ù,0
½Åºñ·Ó´Ù,1
½Å¼±ÇÏ´Ù,1
½Å¼ÓÇÏ´Ù,1
½ÅÁßÇÏ´Ù,1
½ÅÅëÇÏ´Ù,1
½Ç¸ÁÇÏ´Ù,-2
½ÇÆÐÇÏ´Ù,-2
½ÇÇÏ´Ù,2
½È´Ù,-2
½È¾îÁö´Ù,-2
½È¾îÇÏ´Ù,-2
½É°¢ÇÏ´Ù,-2
½É¶õÇÏ´Ù,-1
½É½ÉÇÏ´Ù,-1
½É¾àÇÏ´Ù,0
½ÉÄôÇÏ´Ù,1
½ÉÇÏ´Ù,-2
½Ì°Ì´Ù,-1
½Ì±×·´´Ù,2
½Ì½ÌÇÏ´Ù,2
½Î´ÃÇÏ´Ù,-1
½ÎÇÏ´Ù,-1
½Ï½ÏÇÏ´Ù,1
½Ò½ÒÇÏ´Ù,0
½Ô½Î·¡ÇÏ´Ù,0
½Ô½Î¸§ÇÏ´Ù,0
½Ô½ÒÇÏ´Ù,0
½ß½ßÇÏ´Ù,0
½ßÇÏ´Ù,0
½ä··ÇÏ´Ù,0
½ê´Ù,0
½ò½òÇÏ´Ù,0
¾²¶ó¸®´Ù,-2
¾²¸®´Ù,-2
¾µ´Ù,0
¾µµ¥¾ø´Ù,-2
¾µ¾µÇÏ´Ù,-2
¾¹¾µÇÏ´Ù,-1
¾¿¾¿ÇÏ´Ù,1
¾À³ª´Ù,2
¾Å¾ÅÇÏ´Ù,0
¾Æ±âÀÚ±âÇÏ´Ù,1
¾Æ±õ´Ù,-1
¾Æ³¦¾ø´Ù,1
¾Æ´ÁÇÏ´Ù,1
¾Æ´Ï´Ù,-2
¾Æ´ãÇÏ´Ù,0
¾ÆµæÇÏ´Ù,-1
¾Æ·ÃÇÏ´Ù,0
¾Æ¸§´ä´Ù,2
¾Æ¸®´Ù,-2
¾Æ¸®¶¢´Ù,2
¾Æ¸®¼ÛÇÏ´Ù,-1
¾Æ¹«·¸´Ù,0
¾Æ½±´Ù,-1
¾ÆÂñÇÏ´Ù,-1
¾ÆÇÁ´Ù,-2
¾Ç¼¼´Ù,0
¾ÇÇÏ´Ù,-2
¾È³²´Ù,0
¾È³çÇÏ´Ù,0
¾ÈµÇ´Ù,0
¾È¶ôÇÏ´Ù,1
¾È¾²·´´Ù,-1
¾ÈÀÏÇÏ´Ù,-1
¾ÈÀüÇÏ´Ù,1
¾ÈÁÁ´Ù,-2
¾ÈÅ¸±õ´Ù,-2
¾Ë¶ã»ì¶ãÇÏ´Ù,1
¾Ë¶ãÇÏ´Ù,1
¾Ë¸Â´Ù,1
¾ËÂ÷´Ù,2
¾ÓÀÌ´Ù,0
¾ÓÁõ¸Â´Ù,1
¾ÓÄ®Áö´Ù,0
¾ÓÇÏ´Ù,0
¾Ö¸Å¸ðÈ£ÇÏ´Ù,0
¾Ö¸ÅÇÏ´Ù,-1
¾ÖÃ³·Ó´Ù,-2
¾ÖÆ¶ÇÏ´Ù,0
¾ß¹«Áö´Ù,2
¾ßÇÏ´Ù,0
¾à¹Ù¸£´Ù,0
¾àÇÏ´Ù,-1
¾â¹Ó´Ù,-2
¾ã´Ù,0
¾äÀüÇÏ´Ù,0
¾çÇÏ´Ù,0
¾è´Ù,0
¾î´­ÇÏ´Ù,-1
¾î´Àµ¡´Ù,0
¾î´À»õ´Ù,0
¾îµÎÄÄÄÄÇÏ´Ù,0
¾îµÏÇÏ´Ù,-1
¾îµÓ´Ù,-1
¾î¶°ÇÏ´Ù,0
¾î¶±ÇÏ´Ù,0
¾î¶»´Ù,0
¾î·Æ´Ù,-2
¾î¸®µÕÀýÇÏ´Ù,0
¾î¸®¹Ù¸®ÇÏ´Ù,-1
¾î¸®¼÷ÇÏ´Ù,-2
¾î¸¶¾î¸¶ÇÏ´Ù,0
¾î»öÇÏ´Ù,-1
¾î¼³ÇÁ´Ù,-1
¾î¼ö¼±ÇÏ´Ù,-1
¾î¿©»Ú´Ù,2
¾î¿³ÇÏ´Ù,0
¾îÀÌ¾ø´Ù,-1
¾îÁÝ´Ù,0
¾îÁß°£ÇÏ´Ù,-1
¾îÁö°£ÇÏ´Ù,0
¾îÁö·´´Ù,-1
¾îÁú´Ù,1
¾ï¿ïÇÏ´Ù,-2
¾ðÂ¨´Ù,-2
¾ó·è´ú·èÇÏ´Ù,0
¾óÅ«ÇÏ´Ù,0
¾öÃ»³ª´Ù,1
¾ø´Ù,-1
¾û¶×ÇÏ´Ù,0
¿©¸®´Ù,-1
¿©ÀüÇÏ´Ù,0
¿ª°ã´Ù,-2
¿ª´Ù,0
¿¬°áÇÏ´Ù,0
¿¬¾àÇÏ´Ù,0
¿¬ÇÏ´Ù,0
¿­±¤ÇÏ´Ù,2
¿­¾ÇÇÏ´Ù,-2
¿µ¿øÇÏ´Ù,0
¿¶´Ù,0
¿¹¸®ÇÏ´Ù,0
¿¹¹ÎÇÏ´Ù,-2
¿¹»Ú´Ù,2
¿¾½º·´´Ù,0
¿Àµ¹Åäµ¹ÇÏ´Ù,0
¿Àµ¿ÅëÇÏ´Ù,0
¿À·¡µÇ´Ù,-1
¿À¸¸ÇÏ´Ù,-2
¿À¸ñÇÏ´Ù,0
¿À¹¦ÇÏ´Ù,0
¿À¹ÐÁ¶¹ÐÇÏ´Ù,0
¿Àº×ÇÏ´Ù,1
¿ÀÁ×ÇÏ´Ù,0
¿Â¼øÇÏ´Ù,1
¿ÂÈ­ÇÏ´Ù,2
¿Ã¹Ù¸£´Ù,2
¿Ç´Ù,1
¿Ïº®ÇÏ´Ù,2
¿ÏÀüÇÏ´Ù,1
¿Ø¸¸ÇÏ´Ù,0
¿Ü·Ó´Ù,-1
¿ä¶õÇÏ´Ù,-1
¿ä¿øÇÏ´Ù,0
¿ë°¨ÇÏ´Ù,2
¿ëÀÌÇÏ´Ù,1
¿ëÇÏ´Ù,1
¿ì¼±ÇÏ´Ù,0
¿ì¼öÇÏ´Ù,2
¿ì¾ÆÇÏ´Ù,2
¿ì¿ïÇÏ´Ù,-2
¿ï±ßºÒ±ßÇÏ´Ù,0
¿ïÀûÇÏ´Ù,-1
¿ïÅüºÒÅüÇÏ´Ù,0
¿ø¸¸ÇÏ´Ù,1
¿øÄ¡¾Ê´Ù,-1
¿øÇÏ´Ù,0
¿øÈ°ÇÏ´Ù,1
¿ùµîÇÏ´Ù,1
À¢¸¸ÇÏ´Ù,0
À§±ÞÇÏ´Ù,0
À§´ëÇÏ´Ù,2
À§µ¶ÇÏ´Ù,-1
À§ÁßÇÏ´Ù,0
À§ÇèÇÏ´Ù,-2
À¯³­½º·´´Ù,0
À¯´ÉÇÏ´Ù,2
À¯¸Ó·¯½ºÇÏ´Ù,1
À¯¸íÇÏ´Ù,1
À¯º°³ª´Ù,0
À¯»çÇÏ´Ù,0
À¯¿ëÇÏ´Ù,2
À¯ÀÍÇÏ´Ù,2
À¯ÀÏÇÏ´Ù,0
À¯Ä¡ÇÏ´Ù,-1
À¯Äè,1
À¯ÄèÇÏ´Ù,2
À¯È¿ÇÏ´Ù,0
À¸½º½ºÇÏ´Ù,0
ÀºÀºÇÏ´Ù,0
À½»êÇÏ´Ù,-1
À½Ä§ÇÏ´Ù,-1
ÀÇ±â¼ÒÄ§ÇÏ´Ù,-1
ÀÇ½É½º·´´Ù,-1
ÀÇ¿¬ÇÏ´Ù,1
ÀÇÁ£ÇÏ´Ù,-2
ÀÇÇÏ´Ù,0
ÀÌ´Ù,0
ÀÌ·¯ÇÏ´Ù,0
ÀÌ·¸´Ù,0
ÀÌ·Ó´Ù,1
ÀÌ¸§³ª´Ù,0
ÀÌ»Ñ´Ù,2
ÀÌ»Ú´Ù,2
ÀÌ»óÇÏ´Ù,-1
ÀÍ¼÷ÇÏ´Ù,0
ÀÎÀÚÇÏ´Ù,1
ÀÎÇÏ´Ù,0
ÀÏ¸ñ¿ä¿¬ÇÏ´Ù,1
ÀÏÁ¤ÇÏ´Ù,0
ÀÖ´Ù,0
ÀÚ±×¸¶ÇÏ´Ù,0
ÀÚ±×¸Ä´Ù,0
ÀÚ¶û½º·´´Ù,2
ÀÚ¸®´Ù,-1
ÀÚ»óÇÏ´Ù,2
ÀÚ¼¼ÇÏ´Ù,0
ÀÚ¾Ö·Ó´Ù,1
ÀÚ¿¬½º·´´Ù,1
ÀÚ¿íÇÏ´Ù,0
ÀÚÀ¯·Ó´Ù,0
ÀÚÀÚÇÏ´Ù,0
ÀÚÀßÇÏ´Ù,0
ÀÛ´Ù,0
ÀÜÀÜÇÏ´Ù,0
Àß³ª´Ù,0
Àß¸Â´Ù,1
Àß»ý±â´Ù,2
ÀáÀáÇÏ´Ù,0
Àâ´ÙÇÏ´Ù,0
Àå³­¾ø´Ù,0
ÀåÇÏ´Ù,2
ÀåÈ²ÇÏ´Ù,0
Àç¹Ì¾ø´Ù,-1
Àç¹ÌÀÖ´Ù,2
Àç¹Õ´Ù,2
Àçºü¸£´Ù,0
Àì½Î´Ù,0
Àú·¸´Ù,0
Àú·ÅÇÏ´Ù,1
Àú¸®´Ù,-1
Àû³ª¶óÇÏ´Ù,0
Àû´çÇÏ´Ù,1
ÀûÀÀÇÏ´Ù,0
ÀûÀûÇÏ´Ù,-1
